transcript_id	WT_2mos	TG_2mos	WT_4mos	TG_4mos	WT_6mos	WT_8mos	TG_8mos	TG_6mos
PB.39.3	2	1	2	3	0	2	1	2
PB.390.2	0	1	0	1	0	1	0	1
PB.392.1	0	1	0	1	0	0	0	0
PB.395.1	0	1	0	1	0	0	0	0
PB.395.2	4	2	2	6	3	2	0	0
PB.395.5	2	2	9	1	4	1	3	0
PB.396.1	8	5	3	2	1	2	4	3
PB.396.2	3	2	2	4	1	5	0	1
PB.4.1	5	6	3	2	2	5	5	2
PB.40.1	3	0	0	0	0	0	0	0
PB.400.2	7	6	6	9	13	2	3	3
PB.401.1	0	2	0	1	1	1	0	0
PB.402.1	1	1	1	1	0	0	0	1
PB.403.1	1	0	1	0	0	1	0	1
PB.403.10	5	1	2	1	3	3	4	2
PB.403.11	0	0	0	0	1	1	0	0
PB.403.12	1	0	0	1	0	3	0	0
PB.403.2	1	0	0	0	0	0	1	2
PB.403.3	1	0	1	1	1	1	1	0
PB.403.4	0	3	1	0	0	0	0	0
PB.403.6	45	43	30	53	35	44	39	29
PB.403.7	0	1	0	1	1	0	1	0
PB.403.8	0	0	2	0	0	0	3	1
PB.403.9	1	0	0	0	1	0	0	1
PB.404.1	6	4	3	2	1	1	3	0
PB.404.2	1	1	2	0	1	0	1	1
PB.404.4	0	0	0	0	1	0	2	1
PB.406.1	1	0	1	2	0	0	1	1
PB.406.2	1	0	1	1	0	0	0	0
PB.407.1	2	2	2	0	0	1	0	0
PB.408.10	2	0	0	0	1	1	0	0
PB.408.11	0	0	0	0	0	1	1	0
PB.408.2	4	0	3	4	3	4	3	1
